Country,location,on/off shore,competing with,west_lon,east_lon,north_lat,south_lat
France,FRA7fixed,offshore,fixed,-2.5,-2.25,49,48.75
France,FRA8fixed,offshore,fixed,-2.75,-2.5,47.25,47
France,FRA9fixed,offshore,fixed,-2,-1.75,46,45.75
France,FRA10fixed,offshore,fixed,4,4.25,43.5,43.25
UK,UK1onshore,onshore,onshore wind/PV,-4,-3.75,51,50.75
UK,UK2onshore,onshore,onshore wind/PV,-1.75,-1.5,51.5,51.25
UK,UK3onshore,onshore,onshore wind/PV,0.25,0.5,52.5,52.25
UK,UK4onshore,onshore,onshore wind/PV,-4,-3.75,52.25,52
UK,UK5onshore,onshore,onshore wind/PV,-0.5,-0.25,53.25,53
UK,UK6onshore,onshore,onshore wind/PV,-2.75,-2.5,55.75,55.5
UK,UK7onshore,onshore,onshore wind/PV,-3,-2.75,57.5,57.25
UK,UK6float,offshore,float,-6,-5.75,49.5,49.25
UK,UK7float,offshore,float,0.5,0.75,55.25,55
UK,UK8float,offshore,float,-1,-0.75,58.75,58.5
UK,UK9float,offshore,float,-4,-3.75,59,58.75
UK,UK10float,offshore,float,-8.5,-8.25,58.75,58.5
UK,UK6fixed,offshore,fixed,-4,-3.75,53.75,53.5
UK,UK7fixed,offshore,fixed,-4.75,-4.5,51.5,51.25
UK,UK8fixed,offshore,fixed,1.75,2,52,51.75
UK,UK9fixed,offshore,fixed,1.5,1.75,53.75,53.5
UK,UK10fixed,offshore,fixed,-3.25,-3,58,57.75
Ireland,IRE1onshore,onshore,onshore wind/PV,-9,-8.75,52,51.75
Ireland,IRE2onshore,onshore,onshore wind/PV,-8,-7.75,54.5,54.25
Ireland,IRE3onshore,onshore,onshore wind/PV,-7.5,-7.25,53.25,53
Ireland,IRE4onshore,onshore,onshore wind/PV,-7.5,-7.25,52.5,52.25
Ireland,IRE5onshore,onshore,onshore wind/PV,-6.75,-6.5,53,52.75
Ireland,IRE6float,offshore,float,-9.5,-9.25,55,54.75
Ireland,IRE7float,offshore,float,-11.25,-11,53,52.75
Ireland,IRE8float,offshore,float,-10.5,-10.25,51,50.75
Ireland,IRE9float,offshore,float,-7.25,-7,51.75,51.5
Ireland,IRE6fixed,offshore,fixed,-9,-8.75,54.5,54.25
Ireland,IRE7fixed,offshore,fixed,-7.5,-7.25,55.75,55.5
Ireland,IRE8fixed,offshore,fixed,-7.5,-7.25,52,51.75
Ireland,IRE9fixed,offshore,fixed,-6,-5.75,54,53.75
